"Year","Abundance","se","ci_l","ci_u","cv","Species"
"2013",0.0557620817843866,0.0197000898162184,0.0171506152523943,0.094373548316379,0.35328827737085,"Red Drum"
"2014",0.121807465618861,0.0269665474030005,0.0689540039215875,0.174660927316134,0.221386655292375,"Red Drum"
"2015",0.120458891013384,0.021064391713429,0.0791734418988195,0.161744340127949,0.174867886763863,"Red Drum"
"2016",0.115942028985507,0.0209861432612405,0.074809944019078,0.157074113951937,0.181005485628199,"Red Drum"
"2017",0.0647321428571428,0.0208302559523719,0.0239055914017428,0.105558694312543,0.321791540229746,"Red Drum"
"2018",0.183333333333333,0.053090308913782,0.0792782399342149,0.287388426732452,0.289583503166084,"Red Drum"
"1991",0.135802469135802,0.0670529302229715,0.00438114084090105,0.267223797430704,0.493753395278245,"Spotted Seatrout"
"1992",0.198019801980198,0.0577636254020964,0.0848051765756262,0.31123442738477,0.291706308280587,"Spotted Seatrout"
"1993",0.136363636363636,0.0356390637067069,0.0665123550557623,0.20621491767151,0.261353133849184,"Spotted Seatrout"
"1994",0.0888888888888889,0.0279548968816011,0.0340982978094198,0.143679479968358,0.314492589918012,"Spotted Seatrout"
"1995",0.108045977011494,0.0212926014117329,0.0663132451073311,0.149778708915657,0.197069821576677,"Spotted Seatrout"
"1996",0.0505747126436782,0.0135789053284828,0.0239605472503729,0.0771888780369834,0.268491991722273,"Spotted Seatrout"
"1997",0.0589473684210526,0.0126904173198181,0.0340746075254258,0.0838201293166794,0.215283865246914,"Spotted Seatrout"
"1998",0.267148014440433,0.0639767264631408,0.141755934723907,0.39254009415696,0.239480449057973,"Spotted Seatrout"
"1999",0.133099824868651,0.0277854918011884,0.0786412616455892,0.187558388091714,0.208756787085245,"Spotted Seatrout"
"2000",0.147329650092081,0.0500318557002769,0.0492690148398333,0.245390285344329,0.33959122056563,"Spotted Seatrout"
"2001",0.0903732809430255,0.017769437226562,0.0555458239534186,0.125200737932632,0.196622685833045,"Spotted Seatrout"
"2002",0.064327485380117,0.012151001782098,0.0405119595111228,0.0881430112491111,0.188892845885342,"Spotted Seatrout"
"2003",0.0748752079866889,0.0399131448995885,-0.00335311852623321,0.153103534499611,0.533062224103394,"Spotted Seatrout"
"2004",0.05,0.0111129130657532,0.0282190906277991,0.0717809093722009,0.222258261315064,"Spotted Seatrout"
"2005",0.0461538461538462,0.0150704634314062,0.0166162805979621,0.0756914117097302,0.326526707680467,"Spotted Seatrout"
"2006",0.063752276867031,0.0150985409139053,0.0341596804566722,0.0933448732773897,0.236831398906685,"Spotted Seatrout"
"2007",0.0625,0.020123152848672,0.0230593451612082,0.101940654838792,0.321970445578753,"Spotted Seatrout"
"2008",0.0970873786407767,0.021536958022916,0.0548757165793104,0.139299040702243,0.221830667636035,"Spotted Seatrout"
"2009",0.168905950095969,0.0304095441774653,0.109304338721858,0.228507561470081,0.180038324050675,"Spotted Seatrout"
"2010",0.174460431654676,0.0266452120661792,0.122236775644533,0.22668408766482,0.152729256791707,"Spotted Seatrout"
"2011",0.150847457627119,0.0285256829569842,0.0949381463970216,0.206756768857216,0.18910284207439,"Spotted Seatrout"
"2012",0.0567765567765568,0.0168968728401993,0.0236592945584132,0.0898938189947003,0.297602986153187,"Spotted Seatrout"
"2013",0.0557620817843866,0.0197000898162184,0.0171506152523943,0.094373548316379,0.35328827737085,"Spotted Seatrout"
"2014",0.121807465618861,0.0269665474030005,0.0689540039215875,0.174660927316134,0.221386655292375,"Spotted Seatrout"
"2015",0.120458891013384,0.021064391713429,0.0791734418988195,0.161744340127949,0.174867886763863,"Spotted Seatrout"
"2016",0.115942028985507,0.0209861432612405,0.074809944019078,0.157074113951937,0.181005485628199,"Spotted Seatrout"
"2017",0.0647321428571428,0.0208302559523719,0.0239055914017428,0.105558694312543,0.321791540229746,"Spotted Seatrout"
"2018",0.183333333333333,0.053090308913782,0.0792782399342149,0.287388426732452,0.289583503166084,"Spotted Seatrout"
"1991",0.135802469135802,0.0670529302229715,0.00438114084090105,0.267223797430704,0.493753395278245,"Striped Mullet"
"1992",0.198019801980198,0.0577636254020964,0.0848051765756262,0.31123442738477,0.291706308280587,"Striped Mullet"
"1993",0.136363636363636,0.0356390637067069,0.0665123550557623,0.20621491767151,0.261353133849184,"Striped Mullet"
"1994",0.0888888888888889,0.0279548968816011,0.0340982978094198,0.143679479968358,0.314492589918012,"Striped Mullet"
"1995",0.108045977011494,0.0212926014117329,0.0663132451073311,0.149778708915657,0.197069821576677,"Striped Mullet"
"1996",0.0505747126436782,0.0135789053284828,0.0239605472503729,0.0771888780369834,0.268491991722273,"Striped Mullet"
"1997",0.0589473684210526,0.0126904173198181,0.0340746075254258,0.0838201293166794,0.215283865246914,"Striped Mullet"
"1998",0.267148014440433,0.0639767264631408,0.141755934723907,0.39254009415696,0.239480449057973,"Striped Mullet"
"1999",0.133099824868651,0.0277854918011884,0.0786412616455892,0.187558388091714,0.208756787085245,"Striped Mullet"
"2000",0.147329650092081,0.0500318557002769,0.0492690148398333,0.245390285344329,0.33959122056563,"Striped Mullet"
"2001",0.0903732809430255,0.017769437226562,0.0555458239534186,0.125200737932632,0.196622685833045,"Striped Mullet"
"2002",0.064327485380117,0.012151001782098,0.0405119595111228,0.0881430112491111,0.188892845885342,"Striped Mullet"
"2003",0.0748752079866889,0.0399131448995885,-0.00335311852623321,0.153103534499611,0.533062224103394,"Striped Mullet"
"2004",0.05,0.0111129130657532,0.0282190906277991,0.0717809093722009,0.222258261315064,"Striped Mullet"
"2005",0.0461538461538462,0.0150704634314062,0.0166162805979621,0.0756914117097302,0.326526707680467,"Striped Mullet"
"2006",0.063752276867031,0.0150985409139053,0.0341596804566722,0.0933448732773897,0.236831398906685,"Striped Mullet"
"2007",0.0625,0.020123152848672,0.0230593451612082,0.101940654838792,0.321970445578753,"Striped Mullet"
"2008",0.0970873786407767,0.021536958022916,0.0548757165793104,0.139299040702243,0.221830667636035,"Striped Mullet"
"2009",0.168905950095969,0.0304095441774653,0.109304338721858,0.228507561470081,0.180038324050675,"Striped Mullet"
"2010",0.174460431654676,0.0266452120661792,0.122236775644533,0.22668408766482,0.152729256791707,"Striped Mullet"
"2011",0.150847457627119,0.0285256829569842,0.0949381463970216,0.206756768857216,0.18910284207439,"Striped Mullet"
"2012",0.0567765567765568,0.0168968728401993,0.0236592945584132,0.0898938189947003,0.297602986153187,"Striped Mullet"
"2013",0.0557620817843866,0.0197000898162184,0.0171506152523943,0.094373548316379,0.35328827737085,"Striped Mullet"
"2014",0.121807465618861,0.0269665474030005,0.0689540039215875,0.174660927316134,0.221386655292375,"Striped Mullet"
"2015",0.120458891013384,0.021064391713429,0.0791734418988195,0.161744340127949,0.174867886763863,"Striped Mullet"
"2016",0.115942028985507,0.0209861432612405,0.074809944019078,0.157074113951937,0.181005485628199,"Striped Mullet"
"2017",0.0647321428571428,0.0208302559523719,0.0239055914017428,0.105558694312543,0.321791540229746,"Striped Mullet"
"2018",0.183333333333333,0.053090308913782,0.0792782399342149,0.287388426732452,0.289583503166084,"Striped Mullet"
"1991",0.135802469135802,0.0670529302229715,0.00438114084090105,0.267223797430704,0.493753395278245,"Spot"
"1992",0.198019801980198,0.0577636254020964,0.0848051765756262,0.31123442738477,0.291706308280587,"Spot"
"1993",0.136363636363636,0.0356390637067069,0.0665123550557623,0.20621491767151,0.261353133849184,"Spot"
"1994",0.0888888888888889,0.0279548968816011,0.0340982978094198,0.143679479968358,0.314492589918012,"Spot"
"1995",0.108045977011494,0.0212926014117329,0.0663132451073311,0.149778708915657,0.197069821576677,"Spot"
"1996",0.0505747126436782,0.0135789053284828,0.0239605472503729,0.0771888780369834,0.268491991722273,"Spot"
"1997",0.0589473684210526,0.0126904173198181,0.0340746075254258,0.0838201293166794,0.215283865246914,"Spot"
"1998",0.267148014440433,0.0639767264631408,0.141755934723907,0.39254009415696,0.239480449057973,"Spot"
"1999",0.133099824868651,0.0277854918011884,0.0786412616455892,0.187558388091714,0.208756787085245,"Spot"
"2000",0.147329650092081,0.0500318557002769,0.0492690148398333,0.245390285344329,0.33959122056563,"Spot"
"2001",0.0903732809430255,0.017769437226562,0.0555458239534186,0.125200737932632,0.196622685833045,"Spot"
"2002",0.064327485380117,0.012151001782098,0.0405119595111228,0.0881430112491111,0.188892845885342,"Spot"
"2003",0.0748752079866889,0.0399131448995885,-0.00335311852623321,0.153103534499611,0.533062224103394,"Spot"
"2004",0.05,0.0111129130657532,0.0282190906277991,0.0717809093722009,0.222258261315064,"Spot"
"2005",0.0461538461538462,0.0150704634314062,0.0166162805979621,0.0756914117097302,0.326526707680467,"Spot"
"2006",0.063752276867031,0.0150985409139053,0.0341596804566722,0.0933448732773897,0.236831398906685,"Spot"
"2007",0.0625,0.020123152848672,0.0230593451612082,0.101940654838792,0.321970445578753,"Spot"
"2008",0.0970873786407767,0.021536958022916,0.0548757165793104,0.139299040702243,0.221830667636035,"Spot"
"2009",0.168905950095969,0.0304095441774653,0.109304338721858,0.228507561470081,0.180038324050675,"Spot"
"2010",0.174460431654676,0.0266452120661792,0.122236775644533,0.22668408766482,0.152729256791707,"Spot"
"2011",0.150847457627119,0.0285256829569842,0.0949381463970216,0.206756768857216,0.18910284207439,"Spot"
"2012",0.0567765567765568,0.0168968728401993,0.0236592945584132,0.0898938189947003,0.297602986153187,"Spot"
"2013",0.0557620817843866,0.0197000898162184,0.0171506152523943,0.094373548316379,0.35328827737085,"Spot"
"2014",0.121807465618861,0.0269665474030005,0.0689540039215875,0.174660927316134,0.221386655292375,"Spot"
"2015",0.120458891013384,0.021064391713429,0.0791734418988195,0.161744340127949,0.174867886763863,"Spot"
"2016",0.115942028985507,0.0209861432612405,0.074809944019078,0.157074113951937,0.181005485628199,"Spot"
"2017",0.0647321428571428,0.0208302559523719,0.0239055914017428,0.105558694312543,0.321791540229746,"Spot"
"2018",0.183333333333333,0.053090308913782,0.0792782399342149,0.287388426732452,0.289583503166084,"Spot"
"1991",0.135802469135802,0.0670529302229715,0.00438114084090105,0.267223797430704,0.493753395278245,"Southern Flounder"
"1992",0.198019801980198,0.0577636254020964,0.0848051765756262,0.31123442738477,0.291706308280587,"Southern Flounder"
"1993",0.136363636363636,0.0356390637067069,0.0665123550557623,0.20621491767151,0.261353133849184,"Southern Flounder"
"1994",0.0888888888888889,0.0279548968816011,0.0340982978094198,0.143679479968358,0.314492589918012,"Southern Flounder"
"1995",0.108045977011494,0.0212926014117329,0.0663132451073311,0.149778708915657,0.197069821576677,"Southern Flounder"
"1996",0.0505747126436782,0.0135789053284828,0.0239605472503729,0.0771888780369834,0.268491991722273,"Southern Flounder"
"1997",0.0589473684210526,0.0126904173198181,0.0340746075254258,0.0838201293166794,0.215283865246914,"Southern Flounder"
"1998",0.267148014440433,0.0639767264631408,0.141755934723907,0.39254009415696,0.239480449057973,"Southern Flounder"
"1999",0.133099824868651,0.0277854918011884,0.0786412616455892,0.187558388091714,0.208756787085245,"Southern Flounder"
"2000",0.147329650092081,0.0500318557002769,0.0492690148398333,0.245390285344329,0.33959122056563,"Southern Flounder"
"2001",0.0903732809430255,0.017769437226562,0.0555458239534186,0.125200737932632,0.196622685833045,"Southern Flounder"
"2002",0.064327485380117,0.012151001782098,0.0405119595111228,0.0881430112491111,0.188892845885342,"Southern Flounder"
"2003",0.0748752079866889,0.0399131448995885,-0.00335311852623321,0.153103534499611,0.533062224103394,"Southern Flounder"
"2004",0.05,0.0111129130657532,0.0282190906277991,0.0717809093722009,0.222258261315064,"Southern Flounder"
"2005",0.0461538461538462,0.0150704634314062,0.0166162805979621,0.0756914117097302,0.326526707680467,"Southern Flounder"
"2006",0.063752276867031,0.0150985409139053,0.0341596804566722,0.0933448732773897,0.236831398906685,"Southern Flounder"
"2007",0.0625,0.020123152848672,0.0230593451612082,0.101940654838792,0.321970445578753,"Southern Flounder"
"2008",0.0970873786407767,0.021536958022916,0.0548757165793104,0.139299040702243,0.221830667636035,"Southern Flounder"
"2009",0.168905950095969,0.0304095441774653,0.109304338721858,0.228507561470081,0.180038324050675,"Southern Flounder"
"2010",0.174460431654676,0.0266452120661792,0.122236775644533,0.22668408766482,0.152729256791707,"Southern Flounder"
"2011",0.150847457627119,0.0285256829569842,0.0949381463970216,0.206756768857216,0.18910284207439,"Southern Flounder"
"2012",0.0567765567765568,0.0168968728401993,0.0236592945584132,0.0898938189947003,0.297602986153187,"Southern Flounder"
"2013",0.0557620817843866,0.0197000898162184,0.0171506152523943,0.094373548316379,0.35328827737085,"Southern Flounder"
"2014",0.121807465618861,0.0269665474030005,0.0689540039215875,0.174660927316134,0.221386655292375,"Southern Flounder"
"2015",0.120458891013384,0.021064391713429,0.0791734418988195,0.161744340127949,0.174867886763863,"Southern Flounder"
"2016",0.115942028985507,0.0209861432612405,0.074809944019078,0.157074113951937,0.181005485628199,"Southern Flounder"
"2017",0.0647321428571428,0.0208302559523719,0.0239055914017428,0.105558694312543,0.321791540229746,"Southern Flounder"
"2018",0.183333333333333,0.053090308913782,0.0792782399342149,0.287388426732452,0.289583503166084,"Southern Flounder"
"1991",0.135802469135802,0.0670529302229715,0.00438114084090105,0.267223797430704,0.493753395278245,"Blue Crab"
"1992",0.198019801980198,0.0577636254020964,0.0848051765756262,0.31123442738477,0.291706308280587,"Blue Crab"
"1993",0.136363636363636,0.0356390637067069,0.0665123550557623,0.20621491767151,0.261353133849184,"Blue Crab"
"1994",0.0888888888888889,0.0279548968816011,0.0340982978094198,0.143679479968358,0.314492589918012,"Blue Crab"
"1995",0.108045977011494,0.0212926014117329,0.0663132451073311,0.149778708915657,0.197069821576677,"Blue Crab"
"1996",0.0505747126436782,0.0135789053284828,0.0239605472503729,0.0771888780369834,0.268491991722273,"Blue Crab"
"1997",0.0589473684210526,0.0126904173198181,0.0340746075254258,0.0838201293166794,0.215283865246914,"Blue Crab"
"1998",0.267148014440433,0.0639767264631408,0.141755934723907,0.39254009415696,0.239480449057973,"Blue Crab"
"1999",0.133099824868651,0.0277854918011884,0.0786412616455892,0.187558388091714,0.208756787085245,"Blue Crab"
"2000",0.147329650092081,0.0500318557002769,0.0492690148398333,0.245390285344329,0.33959122056563,"Blue Crab"
"2001",0.0903732809430255,0.017769437226562,0.0555458239534186,0.125200737932632,0.196622685833045,"Blue Crab"
"2002",0.064327485380117,0.012151001782098,0.0405119595111228,0.0881430112491111,0.188892845885342,"Blue Crab"
"2003",0.0748752079866889,0.0399131448995885,-0.00335311852623321,0.153103534499611,0.533062224103394,"Blue Crab"
"2004",0.05,0.0111129130657532,0.0282190906277991,0.0717809093722009,0.222258261315064,"Blue Crab"
"2005",0.0461538461538462,0.0150704634314062,0.0166162805979621,0.0756914117097302,0.326526707680467,"Blue Crab"
"2006",0.063752276867031,0.0150985409139053,0.0341596804566722,0.0933448732773897,0.236831398906685,"Blue Crab"
"2007",0.0625,0.020123152848672,0.0230593451612082,0.101940654838792,0.321970445578753,"Blue Crab"
"2008",0.0970873786407767,0.021536958022916,0.0548757165793104,0.139299040702243,0.221830667636035,"Blue Crab"
"2009",0.168905950095969,0.0304095441774653,0.109304338721858,0.228507561470081,0.180038324050675,"Blue Crab"
"2010",0.174460431654676,0.0266452120661792,0.122236775644533,0.22668408766482,0.152729256791707,"Blue Crab"
"2011",0.150847457627119,0.0285256829569842,0.0949381463970216,0.206756768857216,0.18910284207439,"Blue Crab"
"2012",0.0567765567765568,0.0168968728401993,0.0236592945584132,0.0898938189947003,0.297602986153187,"Blue Crab"
"2013",0.0557620817843866,0.0197000898162184,0.0171506152523943,0.094373548316379,0.35328827737085,"Blue Crab"
"2014",0.121807465618861,0.0269665474030005,0.0689540039215875,0.174660927316134,0.221386655292375,"Blue Crab"
"2015",0.120458891013384,0.021064391713429,0.0791734418988195,0.161744340127949,0.174867886763863,"Blue Crab"
"2016",0.115942028985507,0.0209861432612405,0.074809944019078,0.157074113951937,0.181005485628199,"Blue Crab"
"2017",0.0647321428571428,0.0208302559523719,0.0239055914017428,0.105558694312543,0.321791540229746,"Blue Crab"
"2018",0.183333333333333,0.053090308913782,0.0792782399342149,0.287388426732452,0.289583503166084,"Blue Crab"
"1991",0.135802469135802,0.0670529302229715,0.00438114084090105,0.267223797430704,0.493753395278245,"Atlantic Croaker"
"1992",0.198019801980198,0.0577636254020964,0.0848051765756262,0.31123442738477,0.291706308280587,"Atlantic Croaker"
"1993",0.136363636363636,0.0356390637067069,0.0665123550557623,0.20621491767151,0.261353133849184,"Atlantic Croaker"
"1994",0.0888888888888889,0.0279548968816011,0.0340982978094198,0.143679479968358,0.314492589918012,"Atlantic Croaker"
"1995",0.108045977011494,0.0212926014117329,0.0663132451073311,0.149778708915657,0.197069821576677,"Atlantic Croaker"
"1996",0.0505747126436782,0.0135789053284828,0.0239605472503729,0.0771888780369834,0.268491991722273,"Atlantic Croaker"
"1997",0.0589473684210526,0.0126904173198181,0.0340746075254258,0.0838201293166794,0.215283865246914,"Atlantic Croaker"
"1998",0.267148014440433,0.0639767264631408,0.141755934723907,0.39254009415696,0.239480449057973,"Atlantic Croaker"
"1999",0.133099824868651,0.0277854918011884,0.0786412616455892,0.187558388091714,0.208756787085245,"Atlantic Croaker"
"2000",0.147329650092081,0.0500318557002769,0.0492690148398333,0.245390285344329,0.33959122056563,"Atlantic Croaker"
"2001",0.0903732809430255,0.017769437226562,0.0555458239534186,0.125200737932632,0.196622685833045,"Atlantic Croaker"
"2002",0.064327485380117,0.012151001782098,0.0405119595111228,0.0881430112491111,0.188892845885342,"Atlantic Croaker"
"2003",0.0748752079866889,0.0399131448995885,-0.00335311852623321,0.153103534499611,0.533062224103394,"Atlantic Croaker"
"2004",0.05,0.0111129130657532,0.0282190906277991,0.0717809093722009,0.222258261315064,"Atlantic Croaker"
"2005",0.0461538461538462,0.0150704634314062,0.0166162805979621,0.0756914117097302,0.326526707680467,"Atlantic Croaker"
"2006",0.063752276867031,0.0150985409139053,0.0341596804566722,0.0933448732773897,0.236831398906685,"Atlantic Croaker"
"2007",0.0625,0.020123152848672,0.0230593451612082,0.101940654838792,0.321970445578753,"Atlantic Croaker"
"2008",0.0970873786407767,0.021536958022916,0.0548757165793104,0.139299040702243,0.221830667636035,"Atlantic Croaker"
"2009",0.168905950095969,0.0304095441774653,0.109304338721858,0.228507561470081,0.180038324050675,"Atlantic Croaker"
"2010",0.174460431654676,0.0266452120661792,0.122236775644533,0.22668408766482,0.152729256791707,"Atlantic Croaker"
"2011",0.150847457627119,0.0285256829569842,0.0949381463970216,0.206756768857216,0.18910284207439,"Atlantic Croaker"
"2012",0.0567765567765568,0.0168968728401993,0.0236592945584132,0.0898938189947003,0.297602986153187,"Atlantic Croaker"
"2013",0.0557620817843866,0.0197000898162184,0.0171506152523943,0.094373548316379,0.35328827737085,"Atlantic Croaker"
"2014",0.121807465618861,0.0269665474030005,0.0689540039215875,0.174660927316134,0.221386655292375,"Atlantic Croaker"
"2015",0.120458891013384,0.021064391713429,0.0791734418988195,0.161744340127949,0.174867886763863,"Atlantic Croaker"
"2016",0.115942028985507,0.0209861432612405,0.074809944019078,0.157074113951937,0.181005485628199,"Atlantic Croaker"
"2017",0.0647321428571428,0.0208302559523719,0.0239055914017428,0.105558694312543,0.321791540229746,"Atlantic Croaker"
"2018",0.183333333333333,0.053090308913782,0.0792782399342149,0.287388426732452,0.289583503166084,"Atlantic Croaker"
"1991",0.135802469135802,0.0670529302229715,0.00438114084090105,0.267223797430704,0.493753395278245,"Atlantic Menhaden"
"1992",0.198019801980198,0.0577636254020964,0.0848051765756262,0.31123442738477,0.291706308280587,"Atlantic Menhaden"
"1993",0.136363636363636,0.0356390637067069,0.0665123550557623,0.20621491767151,0.261353133849184,"Atlantic Menhaden"
"1994",0.0888888888888889,0.0279548968816011,0.0340982978094198,0.143679479968358,0.314492589918012,"Atlantic Menhaden"
"1995",0.108045977011494,0.0212926014117329,0.0663132451073311,0.149778708915657,0.197069821576677,"Atlantic Menhaden"
"1996",0.0505747126436782,0.0135789053284828,0.0239605472503729,0.0771888780369834,0.268491991722273,"Atlantic Menhaden"
"1997",0.0589473684210526,0.0126904173198181,0.0340746075254258,0.0838201293166794,0.215283865246914,"Atlantic Menhaden"
"1998",0.267148014440433,0.0639767264631408,0.141755934723907,0.39254009415696,0.239480449057973,"Atlantic Menhaden"
"1999",0.133099824868651,0.0277854918011884,0.0786412616455892,0.187558388091714,0.208756787085245,"Atlantic Menhaden"
"2000",0.147329650092081,0.0500318557002769,0.0492690148398333,0.245390285344329,0.33959122056563,"Atlantic Menhaden"
"2001",0.0903732809430255,0.017769437226562,0.0555458239534186,0.125200737932632,0.196622685833045,"Atlantic Menhaden"
"2002",0.064327485380117,0.012151001782098,0.0405119595111228,0.0881430112491111,0.188892845885342,"Atlantic Menhaden"
"2003",0.0748752079866889,0.0399131448995885,-0.00335311852623321,0.153103534499611,0.533062224103394,"Atlantic Menhaden"
"2004",0.05,0.0111129130657532,0.0282190906277991,0.0717809093722009,0.222258261315064,"Atlantic Menhaden"
"2005",0.0461538461538462,0.0150704634314062,0.0166162805979621,0.0756914117097302,0.326526707680467,"Atlantic Menhaden"
"2006",0.063752276867031,0.0150985409139053,0.0341596804566722,0.0933448732773897,0.236831398906685,"Atlantic Menhaden"
"2007",0.0625,0.020123152848672,0.0230593451612082,0.101940654838792,0.321970445578753,"Atlantic Menhaden"
"2008",0.0970873786407767,0.021536958022916,0.0548757165793104,0.139299040702243,0.221830667636035,"Atlantic Menhaden"
"2009",0.168905950095969,0.0304095441774653,0.109304338721858,0.228507561470081,0.180038324050675,"Atlantic Menhaden"
"2010",0.174460431654676,0.0266452120661792,0.122236775644533,0.22668408766482,0.152729256791707,"Atlantic Menhaden"
"2011",0.150847457627119,0.0285256829569842,0.0949381463970216,0.206756768857216,0.18910284207439,"Atlantic Menhaden"
"2012",0.0567765567765568,0.0168968728401993,0.0236592945584132,0.0898938189947003,0.297602986153187,"Atlantic Menhaden"
"2013",0.0557620817843866,0.0197000898162184,0.0171506152523943,0.094373548316379,0.35328827737085,"Atlantic Menhaden"
"2014",0.121807465618861,0.0269665474030005,0.0689540039215875,0.174660927316134,0.221386655292375,"Atlantic Menhaden"
"2015",0.120458891013384,0.021064391713429,0.0791734418988195,0.161744340127949,0.174867886763863,"Atlantic Menhaden"
"2016",0.115942028985507,0.0209861432612405,0.074809944019078,0.157074113951937,0.181005485628199,"Atlantic Menhaden"
"2017",0.0647321428571428,0.0208302559523719,0.0239055914017428,0.105558694312543,0.321791540229746,"Atlantic Menhaden"
"2018",0.183333333333333,0.053090308913782,0.0792782399342149,0.287388426732452,0.289583503166084,"Atlantic Menhaden"
"1991",0.135802469135802,0.0670529302229715,0.00438114084090105,0.267223797430704,0.493753395278245,"Hardhead Catfish"
"1992",0.198019801980198,0.0577636254020964,0.0848051765756262,0.31123442738477,0.291706308280587,"Hardhead Catfish"
"1993",0.136363636363636,0.0356390637067069,0.0665123550557623,0.20621491767151,0.261353133849184,"Hardhead Catfish"
"1994",0.0888888888888889,0.0279548968816011,0.0340982978094198,0.143679479968358,0.314492589918012,"Hardhead Catfish"
"1995",0.108045977011494,0.0212926014117329,0.0663132451073311,0.149778708915657,0.197069821576677,"Hardhead Catfish"
"1996",0.0505747126436782,0.0135789053284828,0.0239605472503729,0.0771888780369834,0.268491991722273,"Hardhead Catfish"
"1997",0.0589473684210526,0.0126904173198181,0.0340746075254258,0.0838201293166794,0.215283865246914,"Hardhead Catfish"
"1998",0.267148014440433,0.0639767264631408,0.141755934723907,0.39254009415696,0.239480449057973,"Hardhead Catfish"
"1999",0.133099824868651,0.0277854918011884,0.0786412616455892,0.187558388091714,0.208756787085245,"Hardhead Catfish"
"2000",0.147329650092081,0.0500318557002769,0.0492690148398333,0.245390285344329,0.33959122056563,"Hardhead Catfish"
"2001",0.0903732809430255,0.017769437226562,0.0555458239534186,0.125200737932632,0.196622685833045,"Hardhead Catfish"
"2002",0.064327485380117,0.012151001782098,0.0405119595111228,0.0881430112491111,0.188892845885342,"Hardhead Catfish"
"2003",0.0748752079866889,0.0399131448995885,-0.00335311852623321,0.153103534499611,0.533062224103394,"Hardhead Catfish"
"2004",0.05,0.0111129130657532,0.0282190906277991,0.0717809093722009,0.222258261315064,"Hardhead Catfish"
"2005",0.0461538461538462,0.0150704634314062,0.0166162805979621,0.0756914117097302,0.326526707680467,"Hardhead Catfish"
"2006",0.063752276867031,0.0150985409139053,0.0341596804566722,0.0933448732773897,0.236831398906685,"Hardhead Catfish"
"2007",0.0625,0.020123152848672,0.0230593451612082,0.101940654838792,0.321970445578753,"Hardhead Catfish"
"2008",0.0970873786407767,0.021536958022916,0.0548757165793104,0.139299040702243,0.221830667636035,"Hardhead Catfish"
"2009",0.168905950095969,0.0304095441774653,0.109304338721858,0.228507561470081,0.180038324050675,"Hardhead Catfish"
"2010",0.174460431654676,0.0266452120661792,0.122236775644533,0.22668408766482,0.152729256791707,"Hardhead Catfish"
"2011",0.150847457627119,0.0285256829569842,0.0949381463970216,0.206756768857216,0.18910284207439,"Hardhead Catfish"
"2012",0.0567765567765568,0.0168968728401993,0.0236592945584132,0.0898938189947003,0.297602986153187,"Hardhead Catfish"
"2013",0.0557620817843866,0.0197000898162184,0.0171506152523943,0.094373548316379,0.35328827737085,"Hardhead Catfish"
